[33mThe CJS build of Vite's Node API is deprecated. See https://vite.dev/guide/troubleshooting.html#vite-cjs-node-api-deprecated for more details.[39m
Re-optimizing dependencies because lockfile has changed
10:06:20 PM [vite] page reload js/ui/canvas-navigator.js
10:06:21 PM [vite] page reload js/ui/canvas-navigator.js
10:06:53 PM [vite] page reload js/ui/canvas-navigator.js
10:06:53 PM [vite] page reload js/ui/canvas-navigator.js
10:07:05 PM [vite] page reload js/ui/canvas-navigator.js
10:07:34 PM [vite] page reload js/ui/floating-color-correction.js
10:07:41 PM [vite] page reload js/renderers/WebGLRenderer.js
10:09:37 PM [vite] page reload js/ui/canvas-navigator.js
10:09:37 PM [vite] page reload js/ui/canvas-navigator.js
10:10:02 PM [vite] page reload js/canvas.js
10:10:02 PM [vite] page reload js/canvas.js
10:11:49 PM [vite] page reload js/utils/config.js
10:11:50 PM [vite] page reload js/utils/config.js
10:13:43 PM [vite] page reload js/utils/config.js
10:13:43 PM [vite] page reload js/utils/config.js
10:13:51 PM [vite] page reload js/canvas.js
10:14:19 PM [vite] page reload js/utils/config.js
10:14:24 PM [vite] page reload js/utils/config.js
10:14:26 PM [vite] page reload js/utils/config.js
10:18:52 PM [vite] page reload js/renderers/WebGLRenderer.js
10:19:03 PM [vite] page reload js/renderers/WebGLRenderer.js
10:21:43 PM [vite] page reload js/nodes/image-node.js
10:21:43 PM [vite] page reload js/nodes/image-node.js
10:22:08 PM [vite] page reload js/commands/NodeCommands.js
10:22:14 PM [vite] page reload js/commands/NodeCommands.js
10:22:19 PM [vite] page reload js/commands/NodeCommands.js
10:22:40 PM [vite] page reload js/nodes/image-node.js
10:22:40 PM [vite] page reload js/nodes/image-node.js
10:23:02 PM [vite] page reload js/ui/floating-color-correction.js
10:23:08 PM [vite] page reload js/ui/floating-color-correction.js
10:24:17 PM [vite] page reload js/ui/floating-color-correction.js
10:24:27 PM [vite] page reload js/ui/components/spline-curve-editor.js
10:24:37 PM [vite] page reload js/ui/components/spline-curve-editor.js
10:24:47 PM [vite] page reload js/ui/components/spline-curve-editor.js
10:29:13 PM [vite] page reload .scratch/test-color-wheel.html
10:29:13 PM [vite] page reload .scratch/test-color-wheel.html
10:31:13 PM [vite] page reload .scratch/test-color-balance-three-way.html
10:31:29 PM [vite] page reload js/ui/floating-color-correction.js
10:31:36 PM [vite] page reload js/commands/NodeCommands.js
10:31:41 PM [vite] page reload js/commands/NodeCommands.js
10:31:47 PM [vite] page reload js/commands/NodeCommands.js
10:32:59 PM [vite] page reload js/ui/floating-color-correction.js
10:33:08 PM [vite] page reload js/ui/floating-color-correction.js
10:36:27 PM [vite] page reload .scratch/test-color-balance-three-way.html
10:36:39 PM [vite] page reload .scratch/test-color-balance-three-way.html
10:36:58 PM [vite] page reload .scratch/test-color-balance-three-way.html
10:52:44 PM [vite] page reload js/renderers/WebGLRenderer.js
10:52:44 PM [vite] page reload js/ui/components/spline-curve-editor.js
10:52:44 PM [vite] page reload js/ui/canvas-navigator.js
10:52:44 PM [vite] page reload js/canvas.js
10:52:44 PM [vite] page reload .scratch/test-color-wheel.html
10:52:44 PM [vite] page reload js/commands/NodeCommands.js
